GID;Pos;Name;Team;Opponent;Home/Away;Salary;Salary Change;Points;GP;Pts/Game;Pts/G/$;Pts/G(alt);Bye week;
2958;WR;Thomas, De'Anthony;kan;det;H;4500;0;18.8;7;2.69;0.6;3.5;9;
5155;WR;Martin, Keshawn;ne;mia;H;4500;0;18.5;3;6.17;1.37;0;4;
3731;WR;Douglas, Harry;ten;hou;A;4700;0;18;5;3.6;0.77;0;4;
4538;TE;Kendricks, Lance;stl;sfo;H;4600;0;18;5;3.6;0.78;0;6;
2580;WR;Grant, Ryan;was;;H;0;-4600;17.8;5;3.56;0;0;8;
5191;WR;Bellamy, Josh;chi;min;H;4700;4700;17.4;4;4.35;0.93;0;7;
5202;WR;Dobson, Aaron;ne;mia;H;4500;-500;17.4;4;4.35;0.97;2.8;4;
4551;TE;Allen, Dwayne;ind;car;A;4800;-200;17.1;4;4.28;0.89;1.5;10;
5226;WR;Brown, Marlon;bal;sdg;H;4500;0;17.1;7;2.44;0.54;3.7;9;
2881;RB;Grimes, Jonathan;hou;ten;H;5300;800;17;4;4.25;0.8;0;9;
6230;K;Parkey, Cody;phi;;H;0;0;17;3;5.67;0;0;8;
4495;TE;Harbor, Clay;jac;;H;0;-4600;16.9;3;5.63;0;0;8;
4591;TE;Wright, Tim;det;kan;A;4500;0;16.8;4;4.2;0.93;1.8;9;
4650;TE;Williams, Maxx;bal;sdg;H;4600;0;16.8;6;2.8;0.61;0;9;
5365;WR;Ross, Rashad;was;;H;0;-4800;16.6;6;2.77;0;0;8;
4651;TE;Walford, Clive;oak;nyj;H;4500;0;16.5;5;3.3;0.73;11.2;6;
5333;WR;Thielen, Adam;min;chi;A;4500;0;16.1;3;5.37;1.19;3.5;5;
2975;RB;Taliaferro, Lorenzo;bal;sdg;H;4900;0;16.1;3;5.37;1.1;0;9;
2957;RB;Williams, Damien;mia;ne;A;4900;-500;16;6;2.67;0.54;1.9;5;
4482;TE;Dickson, Ed;car;ind;H;4500;0;15.8;5;3.16;0.7;0;5;
4493;TE;Gresham, Jermaine;ari;cle;A;4500;0;15.8;7;2.26;0.5;8.2;9;
2813;RB;Helu, Roy;oak;nyj;H;5300;-400;15.8;4;3.95;0.75;0.3;6;
4586;TE;Hill, Josh;no;nyg;H;4700;0;15.6;6;2.6;0.55;0;11;
3587;WR;Jennings, Greg;mia;ne;A;4500;0;15.4;6;2.57;0.57;4.7;5;
3978;WR;Roberts, Andre;was;;H;0;-4700;15.4;5;3.08;0;6.4;8;
2953;RB;Gray, Jonas;mia;ne;A;5000;0;15.3;4;3.83;0.77;6.3;5;
2834;RB;Miller, Bruce;sfo;stl;A;4500;0;14.9;3;4.97;1.1;0;10;
4640;TE;Fiedorowicz, C.J.;hou;ten;H;4500;-200;14.9;6;2.48;0.55;0;9;
4660;TE;Boyle, Nick;bal;sdg;H;4500;0;14.8;5;2.96;0.66;5;9;
2730;RB;Dixon, Anthony;buf;;H;0;-4600;14.4;5;2.88;0;0;8;
4571;TE;Gragg, Chris;buf;;H;0;-4500;14.4;3;4.8;0;4.5;8;
5353;WR;Fowler, Bennie;den;gb;H;4900;4900;14.2;4;3.55;0.72;0;7;
5144;WR;Lockette, Ricardo;sea;dal;A;4500;0;14.1;3;4.7;1.04;0;9;
5391;WR;Greene, Rashad;jac;;H;0;-4700;14;2;7;0;0;8;
5263;WR;Adams, Davante;gb;den;A;5300;5300;13.7;3;4.57;0.86;0;7;
5277;WR;Campanaro, Michael;bal;sdg;H;4500;0;13.7;4;3.43;0.76;0;9;
2891;RB;Davis, Knile;kan;det;H;4900;-400;13.6;7;1.94;0.4;0.2;9;
5229;WR;Brown, Jaron;ari;cle;A;4500;0;13.6;5;2.72;0.6;0.8;9;
3828;WR;Norwood, Jordan;den;gb;H;4500;4500;13.5;5;2.7;0.6;0;7;
5417;WR;Meredith, Cameron;chi;min;H;4500;4500;13.5;4;3.38;0.75;0;7;
5420;WR;Enunwa, Quincy;nyj;oak;A;4800;0;13.4;4;3.35;0.7;0;5;
2873;RB;Asiata, Matt;min;chi;A;4500;-200;13.3;6;2.22;0.49;1.5;5;
5177;WR;Holmes, Andre;oak;nyj;H;5000;-100;13.3;5;2.66;0.53;0;6;
4433;TE;Phillips, John;sdg;bal;A;4500;0;13.1;3;4.37;0.97;1;10;
5364;WR;Street, Devin;dal;sea;H;4900;200;13.1;4;3.28;0.67;9;6;
4574;TE;Rivera, Mychal;oak;nyj;H;4900;0;13;6;2.17;0.44;2.1;6;
5378;WR;Agholor, Nelson;phi;;H;0;-5000;12.5;5;2.5;0;0;8;
1227;QB;McCown, Luke;no;nyg;H;5800;0;12.4;2;6.2;1.07;1;11;
3906;WR;Easley, Marcus;buf;;H;0;-4500;12.3;2;6.15;0;12.3;8;
5219;WR;Butler, Brice;dal;sea;H;4700;0;12.3;2;6.15;1.31;5.1;6;
2820;RB;Jones, Taiwan;oak;nyj;H;0;0;12.1;4;3.03;0;6.2;6;
3860;WR;Tate, Brandon;cin;pit;A;4700;4700;12;6;2;0.43;0;7;
4578;TE;Willson, Luke;sea;dal;A;4500;0;11.9;5;2.38;0.53;0;9;
1440;QB;Mettenberger, Zach;ten;hou;A;6000;100;11.9;3;3.97;0.66;9.48;4;
2901;RB;Robinson, Denard;jac;;H;0;-5300;11.7;3;3.9;0;0;8;
4664;TE;O'Shaughnessy, James;kan;det;H;4500;0;11.7;5;2.34;0.52;0.7;9;
4576;TE;Sims, Dion;mia;ne;A;4900;0;11.5;3;3.83;0.78;0.2;5;
4542;TE;Green, Virgil;den;gb;H;4500;4500;11.3;3;3.77;0.84;0;7;
2935;RB;McKinnon, Jerick;min;chi;A;4900;-100;11.2;6;1.87;0.38;4.2;5;
5381;WR;Funchess, Devin;car;ind;H;4600;0;11.2;6;1.87;0.41;2.5;5;
3611;WR;Avant, Jason;kan;det;H;4500;0;11.1;4;2.78;0.62;2.1;9;
4491;TE;Graham, Garrett;hou;ten;H;4500;-100;11;6;1.83;0.41;0;9;
4499;TE;Hoomanawanui, Michael;no;nyg;H;4600;0;11;3;3.67;0.8;11.6;11;
5187;WR;Owusu, Chris;nyj;oak;A;4700;0;11;3;3.67;0.78;3.5;5;
2976;RB;Darkwa, Orleans;nyg;no;A;5100;600;10.8;1;10.8;2.12;10.8;11;
2549;RB;Kuhn, John;gb;den;A;4500;4500;10.7;3;3.57;0.79;0;7;
1437;QB;McGloin, Matt;oak;nyj;H;5500;0;10.68;1;10.68;1.94;0;6;
1249;QB;Orlovsky, Dan;det;kan;A;5000;-700;10.64;1;10.64;2.13;0;9;
1241;QB;Cassel, Matt;dal;sea;H;6200;-200;10.48;1;10.48;1.69;10.48;6;
3103;WR;Johnson, Charles;min;chi;A;4900;200;10.2;4;2.55;0.52;2.6;5;
4324;TE;Lewis, Marcedes;jac;;H;0;-4600;10.1;6;1.68;0;2.3;8;
5234;WR;Whalen, Griff;ind;car;A;4500;0;10.1;4;2.53;0.56;-2;10;
2954;RB;White, James;ne;mia;H;5300;300;9.9;3;3.3;0.62;4.5;4;
5204;WR;Givens, Chris;bal;sdg;H;4500;0;9.4;5;1.88;0.42;3;9;
4337;TE;Fells, Daniel;nyg;no;A;4500;0;9;2;4.5;1;0;11;
4457;TE;Myers, Brandon;tam;atl;A;4500;0;9;4;2.25;0.5;0;6;
5421;WR;Smith, Devin;nyj;oak;A;4700;0;9;3;3;0.64;1.2;5;
5351;WR;Janis, Jeff;gb;den;A;4500;4500;8.9;2;4.45;0.99;0;7;
