GID;Pos;Name;Team;Opponent;Home/Away;Salary;Salary Change;Points;GP;Pts/Game;Pts/G/$;Pts/G(alt);Bye week;
7010;D;Denver;den;ind;A;5300;600;111;7;15.86;2.99;9;7;
3328;WR;Smith, Steve;bal;;H;0;-6700;108;7;15.43;0;10.7;9;
2689;RB;Woodhead, Danny;sdg;chi;H;6000;-100;108;8;13.5;2.25;5.5;10;
1400;QB;Taylor, Tyrod;buf;mia;H;7200;7200;107.48;5;21.5;2.99;0;8;
2613;RB;Forte, Matt;chi;sdg;A;8000;-200;107.2;7;15.31;1.91;8.9;7;
3677;WR;Johnson, Calvin;det;;H;0;-8600;105.9;8;13.24;0;11;9;
5173;WR;Benjamin, Travis;cle;cin;A;6000;-300;105.1;8;13.14;2.19;4.1;11;
2858;RB;Martin, Doug;tam;nyg;H;7100;-400;104.3;7;14.9;2.1;8.3;6;
3997;WR;Thomas, Demaryius;den;ind;A;8400;300;101.5;7;14.5;1.73;20.8;7;
5335;WR;Landry, Jarvis;mia;buf;A;7000;-400;101.3;7;14.47;2.07;10.1;5;
1263;QB;Cutler, Jay;chi;sdg;A;7100;-200;100.98;6;16.83;2.37;19.54;7;
2888;RB;Bell, Le'Veon;pit;oak;H;0;-8900;99.2;6;16.53;0;6.8;11;
5151;WR;Hilton, T.Y.;ind;den;H;7700;0;99.1;8;12.39;1.61;2;10;
1344;QB;Bradford, Sam;phi;dal;A;7600;7600;97.84;7;13.98;1.84;0;8;
2553;RB;Peterson, Adrian;min;stl;H;8400;-500;97.5;7;13.93;1.66;11.9;5;
2741;RB;Ivory, Chris;nyj;jac;H;7500;-200;97.1;6;16.18;2.16;5.6;5;
2642;RB;Forsett, Justin;bal;;H;0;-6900;95.9;8;11.99;0;7.9;9;
2816;RB;Lewis, Dion;ne;was;H;7400;400;94.9;6;15.82;2.14;20.2;4;
5341;WR;Hurns, Allen;jac;nyj;A;6800;6800;94.8;7;13.54;1.99;0;8;
2859;RB;Miller, Lamar;mia;buf;A;6900;-500;94.6;7;13.51;1.96;11.9;5;
5199;WR;Austin, Tavon;stl;min;A;5700;400;94.6;7;13.51;2.37;23.9;6;
3983;WR;Sanders, Emmanuel;den;ind;A;7600;-200;92.9;7;13.27;1.75;3.2;7;
4368;TE;Olsen, Greg;car;gb;H;6400;0;92.3;7;13.19;2.06;16.9;5;
5264;WR;Brown, John;ari;;H;0;-6700;92;7;13.14;0;0;9;
5376;WR;Cooper, Amari;oak;pit;A;7300;-200;91.9;7;13.13;1.8;7.3;6;
4582;TE;Kelce, Travis;kan;;H;0;-5900;91.8;8;11.48;0;13.9;9;
5255;WR;Cooks, Brandin;no;ten;H;7100;300;91.4;8;11.43;1.61;23.5;11;
1081;QB;Manning, Peyton;den;ind;A;7700;100;91.16;7;13.02;1.69;12.6;7;
6098;K;Gostkowski, Stephen;ne;was;H;5200;0;91;7;13;2.5;12;4;
2629;RB;Charles, Jamaal;kan;;H;0;0;90.6;5;18.12;0;0;9;
5182;WR;Matthews, Rishard;mia;buf;A;6500;-100;90.5;7;12.93;1.99;9.7;5;
4568;TE;Eifert, Tyler;cin;cle;H;5800;-200;90.1;7;12.87;2.22;5.9;7;
2645;RB;Johnson, Chris;ari;;H;0;-7300;89.7;8;11.21;0;6.9;9;
1439;QB;Bridgewater, Teddy;min;stl;H;6700;-200;89.64;7;12.81;1.91;12.58;5;
3679;WR;Jones, James;gb;car;A;6000;-200;89.6;7;12.8;2.13;0.7;7;
2899;RB;Murray, Latavius;oak;pit;A;7000;100;89.4;7;12.77;1.82;12.4;6;
3830;WR;Maclin, Jeremy;kan;;H;0;-6800;89.1;7;12.73;0;11;9;
