GID;Pos;Name;Team;Opponent;Home/Away;Salary;Salary Change;Points;GP;Pts/Game;Pts/G/$;Pts/G(alt);Bye week;
3550;WR;Jackson, Vincent;tam;phi;A;5900;-100;56.4;6;9.4;1.59;0;6;
2940;RB;Andrews, Antonio;ten;jac;A;5600;-400;56.3;7;8.04;1.44;0.8;4;
4569;TE;Ertz, Zach;phi;tam;H;5200;200;56.2;9;6.24;1.2;10.3;8;
5217;WR;Woods, Robert;buf;ne;A;5100;200;55.9;9;6.21;1.22;3.4;8;
2915;RB;Thompson, Chris;was;car;A;5100;-200;55.8;8;6.98;1.37;8.2;8;
6211;K;Sturgis, Caleb;phi;tam;H;4800;-200;55;6;9.17;1.91;5;8;
2896;RB;Lacy, Eddie;gb;min;A;5600;-400;55;8;6.88;1.23;0;7;
4335;TE;Daniels, Owen;den;chi;A;5000;-100;54.5;9;6.06;1.21;1.9;7;
2892;RB;Ellington, Andre;ari;cin;H;5400;0;53.5;6;8.92;1.65;16.3;9;
2995;RB;Abdullah, Ameer;det;oak;H;5300;-300;53.1;9;5.9;1.11;2.7;9;
7011;D;Detroit;det;oak;H;4300;100;53;9;5.89;1.37;4;9;
7013;D;Indianapolis;ind;atl;A;4000;4000;53;9;5.89;1.47;0;10;
7014;D;Jacksonville;jac;ten;H;4400;100;53;9;5.89;1.34;10;8;
5362;WR;Brown, Corey;car;was;H;4800;-200;52.7;9;5.86;1.22;1.3;5;
5386;WR;Lockett, Tyler;sea;sfo;H;5200;0;52.6;9;5.84;1.12;1.2;9;
5114;WR;Hankerson, Leonard;atl;ind;H;5000;5000;52.1;6;8.68;1.74;0;10;
6159;K;Prater, Matt;det;oak;H;4500;-100;52;9;5.78;1.28;9;9;
6169;K;Succop, Ryan;ten;jac;A;4500;0;52;9;5.78;1.28;5;4;
7022;D;Oakland;oak;det;A;4500;200;52;9;5.78;1.28;6;6;
3809;WR;Wallace, Mike;min;gb;H;5200;-100;51.8;9;5.76;1.11;2.7;5;
