Michael Hoomanawanui,TE,2.75,4600
Chris Owusu,WR,3.67,4700
John Kuhn,RB,3.57,4500
Matt McGloin,QB,10.68,5500
Brandon LaFell,WR,5.1,5200
James White,RB,2.55,5300
Marcedes Lewis,TE,1.68,4600
Dez Bryant,WR,4.75,7900
Daniel Fells,TE,4.5,4500
Devin Smith,WR,3,4700
Jeff Janis,WR,4.45,4500
Fozzy Whittaker,RB,1.26,4700
Gavin Escobar,TE,2.1,4500
Toby Gerhart,RB,1.64,5000
Bruce Ellington,WR,1.64,4500
Josh Robinson,RB,1.64,4900
Andre Caldwell,WR,1.35,4500
Donteea Dye,WR,2.7,4500
Vance McDonald,TE,1.14,4600
Levine Toilolo,TE,1.6,4500
Robert Turbin,RB,2.6,4700
Craig Stevens,TE,1.93,4500
Patrick DiMarco,RB,1.23,4500
Dan Herron,RB,2.4,5500
Mike Davis,RB,1.8,5500
Jimmy Clausen,QB,3.58,5700
Kenbrell Thompkins,WR,7.1,4500
Ahmad Bradshaw,RB,2.33,5000
Lee Smith,TE,1.17,4500
Jack Doyle,TE,2.3,4500
DeVante Parker,WR,3.45,4500
Reggie Bush,RB,1.34,5000
Marqise Lee,WR,3.35,4600
Kellen Davis,TE,2.2,4500
Kellen Clemens,QB,6.52,5200
Chase Coffman,TE,6.2,4500
Marcus Murphy,RB,0.75,4500
Jacquizz Rodgers,RB,1.12,4500
Jeff Cumberland,TE,1.77,4600
Rex Burkhead,RB,1.3,4500
Jim Dray,TE,1.25,4500
Christine Michael,RB,1.25,5400
Jerome Simpson,WR,4.9,4700
Tommy Bohanon,RB,2.4,4500
MyCole Pruitt,TE,1.08,4500
Bobby Rainey,RB,0.68,4600
Lucky Whitehead,WR,1.3,4600
Luke Stocker,TE,1.85,4500
Marquise Goodwin,WR,1.7,4500
Bernard Pierce,RB,0.83,4500
Kendall Gaskins,RB,3.3,4800
Blake Bell,TE,1.07,4500
Juwan Thompson,RB,1.03,4900
Cameron Artis-Payne,RB,1.03,4900
Justin Hardy,WR,3.1,4500
Geremy Davis,WR,1.03,4500
Cordarrelle Patterson,WR,0.41,4500
James Hanna,TE,0.93,4500
DeAndrew White,WR,1.4,4500
Brandon Bolden,RB,1.3,4900
Brian Quick,WR,0.83,4700
Marc Mariani,WR,0.34,4500
Andrew Quarless,TE,2.4,4500
Rhett Ellison,TE,0.8,4500
Darrel Young,RB,0.42,4500
Shaun Draughn,RB,0.42,4500
Alonzo Harris,RB,0.95,4500
Cory Harkey,TE,0.6,4500
Jarryd Hayne,RB,0.28,4500
Eric Weems,WR,0.2,4500
Sammie Coates,WR,1.6,4500
Rod Streater,WR,1.3,4500
Rob Housler,TE,0.37,4500
Jordan Todman,RB,0.55,4700
Russell Shepard,WR,0.55,4500
Terrance West,RB,0.55,4500
Bradley Marquez,WR,1,4500
Matt Spaeth,TE,0.45,4500
Travaris Cadet,RB,0.7,4500
Marqueis Gray,TE,0.7,4500
Corey Grant,RB,0.1,4500
Matt Moore,QB,0.36,5400
David Johnson,TE,0.1,4500
Cierre Wood,RB,0.1,4500
Dwayne Bowe,WR,0,4500
Jacoby Jones,WR,0,4500
Matthew Slater,WR,0,4500
DeSean Jackson,WR,0,5600
Cedric Peerman,RB,0,4500
Joe Webb,QB,0,4800
LaMichael James,RB,0,4500
Jorvorskie Lane,RB,0,4500
Kenjon Barner,RB,0,4500
Cody Latimer,WR,0,4500
Dri Archer,RB,0,4500
Kevin Norwood,WR,0,4500
Sean Renfree,QB,-0.4,4800
Jimmy Garoppolo,QB,-0.2,5000
Isaiah Pead,RB,-1.7,4500
Denarius Moore,WR,-0.67,4500
